Tmed_472897F0;Tmed_472976F8;Tmed_4727C11E
16.3;15.4;14.2
16.7;13.2;13.5
15.5;14.4;13.1
14.2;13.7;12.4
13.4;15.2;12.3
14.9;15.1;12.8
14.6;13.8;12.3
14.0;13.6;11.7
14.1;13.5;11.9
15.1;14.1;12.5
13.4;14.4;11.9
12.9;12.9;10.6
13.5;14.0;11.6
12.9;13.6;11.2
14.1;14.5;12.0
14.6;14.6;12.4
14.9;13.8;12.1
15.4;14.7;13.1
14.6;14.9;12.1
14.5;13.5;12.0
14.9;14.0;12.4
14.1;13.5;11.8
14.8;15.3;12.6
16.3;15.4;13.7
16.6;14.1;13.7
14.2;14.5;12.9
16.4;14.8;13.3
14.5;13.5;12.2
15.6;14.9;13.7
14.7;14.5;12.9
14.5;13.4;11.9
15.1;15.4;13.1
15.1;15.2;12.9
15.8;15.6;13.6
13.3;12.6;11.2
14.5;13.2;12.2
16.3;15.2;13.4
17.3;15.0;14.2
15.7;14.9;13.0
15.3;14.4;12.8
14.4;14.6;12.3
14.9;14.1;12.4
13.7;14.2;11.9
14.5;14.1;12.1
14.1;15.4;12.7
14.9;14.8;13.0
15.9;14.2;13.3
15.6;15.6;13.3
16.3;15.8;13.7
14.2;15.4;13.0
16.8;16.5;13.9
15.6;16.2;13.8
15.6;15.2;13.6
13.6;12.9;10.9
13.0;12.6;11.1
13.7;13.3;11.5
14.1;14.9;11.9
15.6;15.6;13.2
16.0;15.5;13.6
16.5;15.7;14.0
15.3;16.8;13.3
16.1;14.7;13.4
13.6;13.0;12.1
15.1;13.8;12.5
14.6;13.8;11.8
14.5;13.2;12.2
16.3;16.3;13.5
15.3;15.5;13.4
16.5;15.6;13.4
14.8;14.7;13.4
16.3;14.7;13.2
14.3;13.5;12.3
14.6;14.2;12.3
15.7;14.3;13.4
15.2;13.5;13.0
13.5;12.2;11.1
14.3;13.5;11.7
15.0;11.6;12.0
15.4;12.4;11.9
15.5;12.9;12.0
15.8;12.7;11.6
15.1;13.6;12.1
14.7;14.0;11.9
15.1;14.0;11.8
15.5;15.1;12.2
13.9;15.0;11.9
15.7;14.4;13.0
15.8;13.5;12.9
16.3;12.5;13.0
14.9;13.9;12.6
16.0;15.9;13.5
15.4;15.1;13.1
15.4;14.3;12.6
15.1;13.8;12.7
16.2;14.5;13.5
15.6;13.9;12.8
14.3;13.3;12.3
